4981966	24	2016	164	Action,Sci-Fi,Thriller	[1421814, 3606487, 3383930, 764853]	[1653460]	7.9	13148
263386	Going Greek	2001	90	Comedy,Drama,Romance	[116465, 364977, 5350, 416450]	[951698]	4.8	1276
1179855	Go Fast	2008	110	Action,Crime,Drama	[954704, 332709, 1300491, 243805]	[1196794]	5.8	1593
3014866	Criminal	2016	113	Action,Crime,Drama	[126, 5351, 2933757, 198]	[1033517]	6.3	46511
1791528	Inherent Vice	2014	148	Comedy,Crime,Drama	[1618, 982, 5562, 2239702]	[759]	6.7	76506
263488	Jeepers Creepers	2001	90	Horror,Mystery	[5312, 519043, 106534, 6970]	[759207]	6.1	98310
1049956	The Caller	2008	92	Crime,Drama,Mystery	[2831799, 2782660, 105448, 2931070]	[1266318]	5.6	1015
306069	The Singles Ward	2002	102	Comedy,Drama,Romance	[842451, 568750, 1111123, 1109458]	[1109378]	6.3	1193
1312137	On the Way to School	2008	81	Documentary,Drama	[2998573, 3609252, 3608647, 3609231]	[2917126, 2916574]	7.5	1803
1050001	Albino Farm	2009	90	Horror	[839730, 410171, 1832674, 924261]	[26924]	3.9	1341
1050002	My Last Five Girlfriends	2009	87	Comedy	[1981245, 365140, 1433549, 144039]	[447312]	5.8	1853
2622874	My Mistress	2014	104	Drama,Romance	[1549295, 322, 5572157, 5579223]	[2726126]	5.5	1117
2098628	Augustine	2012	102	Drama,History	[512071, 1904769, 1331316, 557859]	[1356951]	6.0	1188
2752758	Devil's Due	2014	89	Horror,Mystery,Thriller	[1935292, 1472917, 27402, 2244640]	[2366012, 2419470]	4.1	15028
3409392	Timbuktu	2014	97	Drama	[6784754, 229139, 6158234, 6784756]	[803066]	7.2	13687
263671	Love the Hard Way	2001	104	Crime,Drama,Romance	[4778, 43662, 781218, 225944]	[782266]	6.4	2271
1312254	Skateland	2010	98	Drama	[2057036, 2230865, 293411, 191442]	[122567]	5.8	2018
490579	Dedication	2007	95	Comedy,Drama,Romance	[1082, 601553, 929489, 852132]	[857620]	6.8	6406
